OTUID	10A	10B	10C	11A	11B	11C	12A	12B	12C	14A	14B	14C	15A	15B	15C	16A	16B	16C	17A	17B	17C	1A	1C	1D	2B	2C	3B	3C	4A	4B	4C	5A	5B	5C	6B	7A	7B	7C	8A	8B	8C	9A	9B	9C
RS-GCF-009679795.1-NZ-WKPZ01000065.1	548855.0	472382.0	555219.0	157038.0	155876.0	206961.0	28641.0	18563.0	21260.0	438412.0	354280.0	730343.0	505.0	34.0	52.0	111.0	257.0	292.0	167.0	116.0	109.0	457.0	506.0	265.0	58948.0	144415.0	39997.0	25614.0	215154.0	307503.0	311589.0	38859.0	146293.0	208913.0	170.0	9.0	63.0	4452.0	390052.0	497054.0	486491.0	3855.0	88.0	245.0
G000022965	1032.0	45935.0	179.0	151573.0	162506.0	218736.0	158776.0	135171.0	155465.0	104.0	11.0	332.0	646364.0	633918.0	703482.0	70526.0	79102.0	105238.0	211.0	96.0	163.0	142.0	35.0	0.0	114.0	749.0	43424.0	32130.0	111944.0	149762.0	155970.0	40373.0	229778.0	266562.0	116.0	164492.0	457005.0	645892.0	3904.0	125.0	343.0	3325.0	465.0	142.0
MJ005-barcode34-umi1283bins-ubs-80	132738.0	129246.0	133067.0	38243.0	37251.0	49898.0	16199.0	11380.0	12901.0	278013.0	223829.0	457524.0	239.0	0.0	23.0	0.0	56.0	61.0	58.0	27.0	33.0	313.0	345.0	123.0	0.0	0.0	17751.0	11070.0	138113.0	198978.0	201559.0	17271.0	91831.0	130357.0	122.0	0.0	31.0	2663.0	236860.0	304477.0	298199.0	1461.0	64.0	115.0
MJ020-2-barcode50-umi47386bins-ubs-11	897.0	755.0	71.0	54.0	0.0	36.0	7280.0	0.0	0.0	74.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185049.0	200323.0	101604.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.0	2568.0	193.0	0.0	236826.0	298246.0	228102.0
RS-GCF-003174995.1-NZ-QGIA01000131.1	873.0	428.0	60.0	107.0	45.0	38.0	32886.0	25725.0	28207.0	115.0	96.0	167.0	14.0	46.0	205.0	84.0	11.0	9.0	0.0	18.0	79.0	116733.0	125790.0	63224.0	70.0	758.0	72038.0	47170.0	31.0	17.0	37.0	74382.0	37.0	28.0	33.0	496.0	44.0	166.0	2297.0	118.0	42.0	141640.0	180538.0	140509.0
G000223155	0.0	0.0	150.0	105.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	75.0	319174.0	323165.0	310280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	122.0	96.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS-GCF-002027295.1-NZ-MWVS01000186.1	524.0	352.0	59.0	0.0	0.0	0.0	46620.0	46800.0	51662.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81614.0	89219.0	45024.0	28.0	103.0	8486.0	5532.0	0.0	0.0	0.0	8511.0	0.0	0.0	0.0	0.0	0.0	100.0	638.0	97.0	22.0	110929.0	139563.0	105783.0
MJ007-1-barcode38-umi5082bins-ubs-56	286.0	393.0	61.0	22.0	10.0	0.0	4521.0	0.0	0.0	39.0	27.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99605.0	107888.0	54390.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	737.0	112.0	24.0	124680.0	156965.0	121951.0
RS-GCF-000410995.1-NC-021494.1--3	71.0	301.0	33.0	0.0	0.0	0.0	2470.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89563.0	96083.0	48944.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	830.0	89.0	31.0	112095.0	144100.0	111791.0
RS-GCF-902167775.1-NZ-CABHND010000018.1	1337.0	60.0	104.0	57.0	16.0	26.0	53885.0	37585.0	44779.0	11.0	7.0	244.0	9.0	7.0	41.0	34.0	0.0	7.0	0.0	25.0	397.0	0.0	102.0	7.0	6584.0	33566.0	149819.0	105744.0	36.0	23.0	74.0	148889.0	31.0	8.0	247.0	0.0	19.0	16.0	1217.0	70.0	44.0	1039.0	118.0	147.0
