Number,Brand,B.animalis.B.lactis,B.bifidum,B.breve,B.longum.B.infantis,B.agri,L.paracasei,L.rhamnosus,L.plantarum_A_,L.acidophilus.L.helveticus,L.delbrueckii,L.gasseri_,L.salivarius,L.reuteri,S.thermophilus,W.coagulans,Other
1,Brand 1,0.064810361,0,0.013303179,0.069926969,0,0,0.4236551,0.02046643,0,0.00716325,0.010233215,0.01569093,99.14143326,0,0,0.233317301
2,Brand 2,0.072042544,0.01429852,1.080088211,8.031368753,0,8.770492254,68.27323372,0,1.660278161,4.879095014,0.00714926,0.010998862,0.180931274,6.517925395,0.010998862,0.491099171
3,Brand 3,9.097187666,1.062990099,1.018806088,61.22359684,0,0,14.06638755,3.79124556,0.026596201,0.010724275,0,2.571252081,6.615590521,0,0,0.515623123
4,Brand 4,19.74328546,0.005910891,0.01273115,0.086162604,0,0,79.90478919,0.030236481,0,0.006820259,0.017050647,0.010003046,0.023416222,0.010685072,0,0.148908986
5,Brand 5,37.48142399,0,0.000473274,0.03431238,0,0,62.33494562,0.013488315,0,0,0,0,0.018930968,0.004496105,0,0.11192935
8,Brand 8,0.038480062,0,0,0.015640283,0,0,99.62885359,0,0,0,0,0.007199496,0.019860677,0.007199496,0.119908839,0.162857554
9,Brand 9,0.412132725,0.007020297,0.031797815,0.153207656,0,0,1.401168673,0.00289071,0,0,0.017344263,0.021060891,97.72583676,0,0.020647932,0.20689228
10,Brand 10,0.015558232,0,0.003755435,0.019045422,0,0,99.76018863,0.008852098,0,0.008852098,0.002145963,0,0.047747678,0,0.024142084,0.10971236
12,Brand 12,47.83312211,0,0.010362116,7.463114852,0,0,13.1686554,15.77831448,6.964936193,0,0.001594172,0.015144631,8.409255761,0,0.062172697,0.293327594
13,Brand 13,12.686187,3.161472312,6.947179538,35.68783692,0,0,15.21277971,9.638764912,0,0,6.60578919,6.890154424,2.702230062,0,0.079835159,0.387770774
14,Brand 14,0.042164717,0,0.005556591,0.017650347,0,0,99.69929039,0.010459465,0.018630921,0,0.005556591,0.011766898,0.033012685,0,0.036608126,0.119303269
17,Brand 17,0.036324852,0.017775992,0.021640338,0.053327975,1.530281015,0,1.69953937,0.033233376,0.039416329,0,0.007728692,0.00927443,0.107428819,0,94.86041982,1.58360899
